Sito,Id_prodotto,Url,Nome,Tipo,Tipo_specifico,Brand,Social,Descrizione,Genere,Colore,Eccentrico,Prezzo,Immagine,Fattore_tecnico,Tecnico,Fattore_ambientale,ecologico,prediction_tecnico
nencini,435879,https://www.nencinisport.it/it/new-balance-860v11.html,New Balance 860v11,scarpe,scarpe,new balance,si,"Realizzate per il runner che cerca stabilità, le nostre scarpe da corsa Fresh Foam 860v11 da uomo uniscono perfettamente ammortizzazione e il classico supporto NB. La tecnologia Fresh Foam assicura ammortizzazione duratura accompagnata da una sensazione di leggerezza, che se abbini a un design basato sui dati, una stabilità su cui puoi contare e una tomaia tecnica ti offre una calzata che sembra realizzata appostamente per te.
  DETTAGLI PRODOTTO
L’ammortizzazione dell’intersuola in FRESH FOAM è progettata per assicurare una falcata leggera e ammortizzata
Tomaia in mesh tecnica per una calzata che sembra realizzata appositamente per te
Materiale sintetico/mesh leggero
Il pannello mediale aiuta a controllare la pronazione
Suola esterna in gomma soffiata assicura durabilità
Il design Ultra Heel avvolge il tallone assicurando una calzata aderente e maggior supportoDifferenziale di 10 mm: per alcune variazioni create durante i processi di sviluppo e produzione, tutti i riferimenti al differenziale di 10 mm sono approssimativi
Ammortiizzazione in base ai dati per comfort su lunghe distanze
Stabilità comprovata
RIDUCI",uomo,grigio,no,112,img_435879.jpg,,si,,no,si
nencini,279610,https://www.nencinisport.it/it/bunf-jacket-teck-279610.html,Bunf Jacket Teck,maglia,giacca,bunf,no,"Giacca unisex antivento e idrorepellente.
Cappuccio elastico fisso.
Zip intera.
Due tasche con zip.
Slim fit.
100% poliestere.
RIDUCI",uomo,verde,si,22.5,img_279610.jpg,,no,,no,no
nencini,432671,https://www.nencinisport.it/it/asics-silver-ss-top-432671.html,Asics Silver Ss Top,maglia,maglia,asics,si,"Con la maglia da corsa ASICS a maniche corte da uomo scegli la semplicità ogni volta che vai a correre.
Indossala sotto a una maglia a maniche lunghe nelle giornate più fredde, o da sola quando inizia a fare più caldo ma non abbastanza da uscire in canotta.
Il design classico propone il caratteristico logo a spirale ASICS.
Questa maglia ti permette di regolare la temperatura corporea e di dare il massimo mentre corri in solitaria per mantenerti in forma o durante un evento ad alto livello agonistico.
Materiale sintetico.
RIDUCI",uomo,blu,no,14,img_432671.jpg,,si,,no,si
sportler,10740294,https://www.sportler.com/it/p/la-sportiva-comet-gonna-trail-running-donna-10740294?filterFarbe=Light+Blue,Comet - gonna trail running - donna,pantaloni,pantaloni corti,la sportiva,no,"Comet Skirt di La Sportiva è una gonnellina da trail running perfetta per esprimere la propria femminilità anche durante l'attività fisica: leggera e ad asciugatura rapida, permette la massima libertà di movimento.
costruzione body-mapping
materiali utilizzati certificati bluesign®
morbida in vita
tessuto morbido ed elastico
safety pocket posta centralmente sul retro",donna,rosso,si,59.95,img_10740294.jpg,,no,,no,no
df sport specialist,98384127,https://www.df-sportspecialist.it/asics-scarpe-gel-fujitrabuco-8/,scarpe gel fujitrabuco 8,scarpe,scarpe,asics,si,"Corri più veloce in qualsiasi condizione meteo,  con le nuove e migliorate scarpe da trail running GEL-FUJITRABUCO 8 da uomo. Progettata per darti una spinta su qualsiasi distanza,  questa scarpa presenta la tecnologia FLYTEFOAM Lyte per un ritorno ad alta energia e riduzione del peso,  aggiungendo maggiore rimbalzo ai tuoi passi e facendoti sentire più leggero mentre corri., Dotata di tecnologia GEL per un migliore assorbimento degli urti e maggiore comfort,  questa scarpa è perfetta per le corse su trail grazie alla suola ASICSGRIP e alla protezione anti-roccia che ti consentono di affrontare qualsiasi terreno con sicurezza. Le alette multi-direzionali evitano scivolamenti sul fuori strada e ti mantengono stabile in discesa,  coì potrai affrontare le colline in tutte sicurezza sapendo di disporre di aderenza e trazione eccellenti., Ogni runner su lunga distanza sa che la stabilità del piede è fondamentale, "" e la nostra tecnologia DUOMAX si contrappone alliperpronazione fornendo"",  allo stesso tempo, "" la stabilità essenziale allintersuola e allarco del piede. Il comfort è unaltra certezza grazie alla soletta in EVA che assicura una maggiore ammortizzazione"",  mentre lo strato superiore protettivo della scarpa garantisce una sensazione fresca e asciutta per tutto il tempo. Per quando corri in condizioni di scarsa visibilità abbiamo incluso dettagli riflettenti per renderti ben visibile., Con protezione,  comfort e aderenza di massimo livello,  la GEL-FUJITRABUCO 8 ti permette di affrontare qualunque sentiero in qualsiasi condizione meteorologica. E per tutto il tempo,  il nostro inconfondibile logo garantisce un look elegante., Larghezza standard, Intersuola DUOMAX, Tecnologia FLYTEFOAM Lyte, Suola ASICSGRIP, Contrafforte interno sagomato, Sottopiede in SpEVA 45, Soletta in EVA, Dettagli riflettenti, Protezione anti-roccia, Alette multi-direzionali, Ammortizzazione GEL, Tomaia in pelle sintetica, UTILIZZO:, Running, TIPOLOGIA:, Scarpe, UTILIZZO:, Sterrato, TIPOLOGIA:, Trail running, CF: 1011A668-300""",uomo,nero,no,89.9,img_img98384127.jpg,,si,,no,si
df sport specialist,98304804,https://www.df-sportspecialist.it/errea-manicotti-volley-knik-09-blu/,manicotti volley knik,altro,vario,errea,no,"I manicotti a compressione differenziata Knik aiutano il muscolo sia sotto sforzo,  che durante il recupero. La tecnologia a compressione differenziata migliora la circolazione sanguigna rendendo il recupero più rapido e riducendo il rischio di infiammazioni,  dolori e indolenzimenti. I manicotti Knik sono prodotti mediante particolari procedimenti di tessitura,  che alternano trame ampie e robuste con aree a bassa compressione,  incrociate in modo da stimolare la circolazione capillare e migliorare la protezione della pelle. Adatti a tutti gli sportivi che desiderano una compressione mirata e protezione dalle abrasioni, Effetto â€œseconda pelleâ€\x9d  Tecnologia Seamless  Estrema leggerezza e traspirabilità\Made in Italy Certificate Oeko-Tex Stardard 100  Differenti misure per comfort e vestibilità\ ottimali. Composizione 85% POLIAMMIDE - 10% POLIESTERE - 5% ELASTAN, UTILIZZO, Running, UTILIZZO, Ciclismo, TIPOLOGIA, Manicotti, TIPOLOGIA, Abbigliamento, TIPOLOGIA, Attrezzature pallavolo, SPORT, Running, SPORT, Ciclismo, SPORT, Pallavolo, TIPOLOGIA, Guanti e manicotti, TIPOLOGIA, Manicotti e gambali, CF U655",unisex,blu,no,22.99,img_img98304804.jpg,,si,,no,si
sportler,10320904,https://www.sportler.com/it/p/odlo-high-padded-sports-cup-c-reggiseno-sportivo-a-sostegno-elevato-donna-10320904?filterFarbe=Black,High Padded Sports (Cup C) - reggiseno sportivo a sostegno elevato - donna,maglia,reggiseno,odlo,no,"Le sollecitazioni dovute ad attività sportive ad alto impatto possono provocare danni ai tessuti interni del seno, se non adeguatamente sostenuto. Il reggiseno sportivo High Padded di Odlo ti offre un ottimo supporto e vestibilità comoda durante gli allenamenti più tosti. Un buon reggiseno riduce infatti i movimenti del petto di circa il 75%: non importa se sei una sportiva principiante o di alto livello, il reggiseno è sempre necessario per prevenire danni ai tessuti interni.
coppe con imbottiture per un ottimo sostegno
spalline regolabili e imbottite per il massimo comfort in ogni situazione
efficiente trasporto di umidità e calore in eccesso verso l'esterno
inserti di ventilazione laterali e sullo sterno
materiale ad asciugatura rapida
High Support - sostegno eccezionale per attività sportive ad alto impatto
adatto a coppe di dimensione C",donna,nero,no,59.9,img_10320904.jpg,,si,,no,si
decathlon,8553389,https://www.decathlon.it/pantaloni-donna-run-dry-neri-id_8553389.html,pantaloni running donna run dry neri,pantaloni,pantaloni,kalenji,no,"la nostra equipe ha ideato dei pantaloni leggeri, fluidi e traspiranti. l'ideale per correre dove vuoi!il tessuto traspirante, l'asciugatura rapida e la grande traspirabilità  di questi pantaloni da running ultraleggeri ti conquisteranno! l'ideale per il running.i vantaggi
traspirabilità 
tessuto molto leggero per una buona traspirabilità .
tasche
3 tasche con zip (due per le mani e una sulla schiena).
sostegno
elastico e coulisse per fare in modo che rimangano bene a posto.
comfort di utilizzo
elastico alle caviglie per un buon mantenimento dei pantaloni.informazioni tecniche
un'etichetta per confrontare l'impatto ambientale dei prodotti
l'impatto ambientale del prodotto viene calcolato sulla totalità  del ciclo di vita del prodotto attraverso indici diversi. per aiutarti a identificare facilmente i prodotti dalle migliori performance ambientali, è stata realizzata una valutazione a-b-c-d-e che pone a confronto tra loro i prodotti di una stessa tipologia (t-shirt, pantaloni, zaini, ecc.).
decathlon è un attore volontario di questo processo di informazione ambientale.
ulteriori info: https://www.youtube.com/watch?v=1f_nfgsms2m",donna,nero,no,15.39,img_8553389.jpg,,no,,no,no
sportler,10886945,https://www.sportler.com/it/p/nike-techknit-future-fast-run-maglia-running-uomo-10886945?filterFarbe=Green,TechKnit Future Fast Run - maglia running - uomo,maglia,maglia,nike,si,"Maglia running da uomo TechKnit Future Fast Run di Nike con grafica speciale a tre colori e stile gara, performante ed essenziale allo stesso tempo, perfetta per ogni tipo di atleta.
tessuto engineered a maglia altamente traspirante
inserti mirati altamente traspiranti per un comfort ottimale
tecnologia Dri-FIT per una pelle sempre asciutta
girocollo
maniche stile raglan per una mobilità ottimale
grafica a tre colori realizzati con la minor quantità di inchiostro possibile nel rispetto dei criteri di sostenibilità
vestibilità Regular Fit",uomo,verde,si,59.99,img_10886945.jpg,,si,,si,si
nencini,383963,https://www.nencinisport.it/it/nike-air-short.html,Nike Air Short,pantaloni,pantaloni,nike,si,"COPERTURA CLASSICA.
Oltre a un comodo spazio per i tuoi oggetti e a una fattura morbida, gli shorts Nike Air ti offrono copertura e leggerezza durante la corsa. Questo prodotto è realizzato con almeno il 75% di tessuto in poliestere riciclato.

SOSTEGNO DURANTE LA CORSA
Il tessuto woven offre copertura, risultando morbido sulla pelle. Foderato per un sostegno extra, integra inserti dal taglio ampio che offrono libertà di movimento.

STILE AIR PERSONALIZZABILE
Con elastico e coulisse in vita nascosti, il capo offre una copertura regolabile. Il laccetto riporta il brand ""AIR"".

PRATICO SPAZIO
La tasca a sinistra sul davanti è in grado di contenere una chiave o una tessera.

DETTAGLI PRODOTTO
Elementi dal design rifrangente
Il prodotto non è inteso come dispositivo di protezione individuale
Corpo/fodera: 100% poliestere. Inserto laterale: 80% poliestere/20% spandex.
Lavabile in lavatrice
Prodotto importato
RIDUCI",donna,nero,no,29.95,img_383963.jpg,,no,poliestere riciclato che ha un minore impatto sull'ambiente e permette di ridurre le emissioni.,si,no
